m/z,intensity
375.2,7002.555555555556
375.21,7462.5
375.22,8318.285714285714
375.23,7080.857142857143
375.24,7453.321428571428
375.25,8704.857142857143
375.26,7237.214285714285
375.27,6048.25
375.28,5416.148148148148
375.29,9087.142857142857
375.3,5031.857142857143
375.31,6632.857142857143
375.32,7711.857142857143
375.33,6957.928571428572
375.34,7438.928571428572
375.35,6950.214285714285
375.36,8194.42857142857
375.37,5486.964285714285
375.38,4805.071428571428
375.39,7902.392857142857
375.4,5395.142857142857
375.41,6457.407407407408
375.42,4215.0
375.43,9383.785714285714
375.44,7227.25
375.45,6341.821428571428
375.46,7546.035714285715
375.47,6649.071428571428
375.48,7255.285714285715
375.49,6458.892857142857
375.5,4663.785714285715
375.51,7359.357142857143
375.52,4719.333333333333
375.53,8822.07142857143
375.54,10544.07142857143
375.55,5258.928571428572
375.56,7118.642857142857
375.57,6630.321428571428
375.58,7067.071428571428
375.59,5242.714285714285
375.6,6598.25
375.61,9726.296296296296
375.62,6745.642857142857
375.63,6320.714285714285
375.64,6535.785714285715
375.65,5813.5
375.66,6696.5
375.67,8326.892857142857
375.68,8464.142857142857
375.69,6752.714285714285
375.7,7035.407407407408
375.71,6709.607142857143
375.72,8349.92857142857
375.73,9610.17857142857
375.74,6253.642857142857
375.75,9346.07142857143
375.76,8809.892857142857
375.77,8259.703703703704
375.78,6424.392857142857
375.79,5984.25
375.8,6017.428571428572
375.81,7763.142857142857
375.82,8649.714285714286
375.83,6656.964285714285
375.84,6503.148148148148
375.85,6011.642857142857
375.86,5004.964285714285
375.87,8830.357142857143
375.88,10260.57142857143
375.89,6317.535714285715
375.9,5056.892857142857
375.91,7714.888888888889
375.92,5025.571428571428
375.93,8342.32142857143
375.94,5205.142857142857
375.95,7098.535714285715
375.96,5515.928571428572
375.97,8391.296296296296
375.98,6414.928571428572
375.99,7584.0
376.0,6494.392857142857
376.01,6514.5
376.02,7339.321428571428
376.03,6754.62962962963
376.04,7628.035714285715
376.05,6636.607142857143
376.06,5322.571428571428
376.07,5513.821428571428
376.08,7046.0
376.09,5969.214285714285
376.1,6058.035714285715
376.11,6140.75
376.12,9418.17857142857
376.13,6206.964285714285
376.14,8407.888888888889
376.15,5397.75
376.16,8317.035714285714
376.17,7209.357142857143
376.18,8989.75
376.19,7089.074074074074
376.2,7218.928571428572
376.21,7830.392857142857
376.22,9066.607142857143
376.23,9687.035714285714
376.24,7023.444444444444
376.25,5404.821428571428
376.26,7294.035714285715
376.27,6197.214285714285
376.28,8458.82142857143
376.29,6492.481481481482
376.3,9028.857142857143
376.31,5705.25
376.32,5786.714285714285
376.33,6242.111111111111
376.34,7492.964285714285
376.35,4469.071428571428
376.36,6644.678571428572
376.37,9569.142857142857
376.38,10856.74074074074
376.39,7004.142857142857
376.4,5918.535714285715
376.41,7817.035714285715
376.42,9005.703703703704
376.43,5591.785714285715
376.44,8182.857142857143
376.45,5258.0
376.46,5917.740740740741
376.47,6055.571428571428
376.48,6308.607142857143
376.49,6904.642857142857
376.5,7280.666666666667
376.51,6552.607142857143
376.52,7583.142857142857
376.53,6377.142857142857
376.54,9019.0
376.55,6462.428571428572
376.56,7431.642857142857
376.57,9301.642857142857
376.58,6476.0
376.59,5810.607142857143
376.6,7779.892857142857
376.61,7975.678571428572
376.62,11120.0
376.63,5888.821428571428
376.64,10278.892857142857
376.65,6020.642857142857
376.66,7948.148148148148
376.67,6553.5
376.68,8212.57142857143
376.69,5532.464285714285
376.7,4967.888888888889
376.71,8029.428571428572
376.72,4654.357142857143
376.73,5779.037037037037
376.74,7425.071428571428
376.75,7234.928571428572
376.76,9032.142857142857
376.77,9739.592592592593
376.78,9391.57142857143
376.79,7169.714285714285
376.8,5336.407407407408
376.81,5922.071428571428
376.82,5650.214285714285
376.83,4950.535714285715
376.84,8635.333333333334
376.85,5765.321428571428
376.86,7634.571428571428
376.87,6461.888888888889
376.88,7185.571428571428
376.89,4359.571428571428
376.9,7402.2962962962965
376.91,6068.571428571428
376.92,4593.357142857143
376.93,6863.357142857143
376.94,7076.666666666667
376.95,8958.392857142857
376.96,5588.321428571428
376.97,5982.481481481482
376.98,5348.607142857143
376.99,5470.25
377.0,7596.222222222223
377.01,5858.642857142857
377.02,5237.535714285715
377.03,7033.148148148148
377.04,7511.142857142857
377.05,5456.714285714285
377.06,7558.444444444444
377.07,10487.857142857143
377.08,4688.571428571428
377.09,5742.740740740741
377.1,8359.535714285714
377.11,8932.42857142857
377.12,4617.0
377.13,6361.785714285715
377.14,6323.642857142857
377.15,10154.481481481482
377.16,6529.857142857143
377.17,6393.142857142857
377.18,8311.148148148148
377.19,4885.071428571428
377.2,7682.035714285715
377.21,6573.148148148148
377.22,7036.178571428572
377.23,8537.964285714286
377.24,9984.222222222223
377.25,5460.035714285715
377.26,6900.035714285715
377.27,6261.777777777777
377.28,4807.571428571428
377.29,7336.666666666667
377.3,9760.285714285714
377.31,6099.035714285715
377.32,5257.851851851852
377.33,8095.857142857143
377.34,5888.892857142857
377.35,8178.037037037037
377.36,8825.392857142857
377.37,8339.42857142857
377.38,5925.037037037037
377.39,7641.5
377.4,6309.407407407408
377.41,6748.821428571428
377.42,6712.964285714285
377.43,5870.148148148148
377.44,6477.892857142857
377.45,6806.185185185185
377.46,5446.107142857143
377.47,9927.57142857143
377.48,5573.925925925926
377.49,8077.607142857143
377.5,7303.142857142857
377.51,4939.62962962963
377.52,10122.035714285714
377.53,7119.111111111111
377.54,8683.857142857143
377.55,8811.214285714286
377.56,5463.62962962963
377.57,8116.428571428572
377.58,8444.481481481482
377.59,8941.82142857143
377.6,6754.928571428572
377.61,8377.333333333334
377.62,6743.857142857143
377.63,6830.518518518518
377.64,6779.107142857143
377.65,7866.592592592592
377.66,7336.357142857143
377.67,5489.142857142857
377.68,6070.851851851852
377.69,6170.964285714285
377.7,9460.222222222223
377.71,7040.25
377.72,4577.0
377.73,7912.962962962963
377.74,7309.428571428572
377.75,4437.962962962963
377.76,4707.785714285715
377.77,6826.333333333333
377.78,5323.571428571428
377.79,5604.392857142857
377.8,4412.7037037037035
377.81,8959.642857142857
377.82,5519.851851851852
377.83,6744.714285714285
377.84,4795.555555555556
377.85,6527.25
377.86,8249.74074074074
377.87,5854.714285714285
377.88,8787.535714285714
377.89,6055.222222222223
377.9,6956.785714285715
377.91,3859.6666666666665
377.92,7578.464285714285
377.93,7056.518518518518
377.94,7749.5
377.95,7038.62962962963
377.96,5592.821428571428
377.97,6159.222222222223
377.98,6127.464285714285
377.99,5863.642857142857
378.0,8505.111111111111
378.01,6995.071428571428
378.02,8986.481481481482
378.03,5186.357142857143
378.04,7681.0
378.05,8121.25
378.06,5246.740740740741
378.07,6417.428571428572
378.08,4712.740740740741
378.09,4346.857142857143
378.1,9008.444444444445
378.11,5917.928571428572
378.12,6177.259259259259
378.13,7889.357142857143
378.14,8186.592592592592
378.15,8924.642857142857
378.16,6250.37037037037
378.17,5227.142857142857
378.18,6493.037037037037
378.19,5102.142857142857
378.2,5052.333333333333
378.21,5637.107142857143
378.22,4836.642857142857
378.23,8422.481481481482
378.24,8201.142857142857
378.25,5266.481481481482
378.26,5015.392857142857
378.27,5416.740740740741
378.28,8498.074074074075
378.29,7142.357142857143
378.3,6498.333333333333
378.31,8874.357142857143
378.32,8968.148148148148
378.33,6671.428571428572
378.34,6063.962962962963
378.35,6386.357142857143
378.36,6909.777777777777
378.37,7612.571428571428
378.38,12871.518518518518
378.39,8126.107142857143
378.4,6118.62962962963
378.41,8017.607142857143
378.42,8999.592592592593
378.43,7895.5
378.44,10413.37037037037
378.45,8703.857142857143
378.46,7725.222222222223
378.47,8791.0
378.48,6922.259259259259
378.49,8545.0
378.5,5638.814814814815
378.51,8016.407407407408
378.52,8578.892857142857
378.53,9189.925925925925
378.54,7272.964285714285
378.55,4967.222222222223
378.56,7566.178571428572
378.57,7739.074074074074
378.58,7818.607142857143
378.59,7720.407407407408
378.6,11412.785714285714
378.61,8825.703703703704
378.62,7803.037037037037
