m/z,intensity
300.0,1628.0
300.1,9204.0
300.2,10443.0
300.3,2304.0
300.4,27.0
300.5,0.0
300.6,0.0
300.7,1566.0
300.8,7354.5
300.9,3653.0
301.0,23129.0
301.1,67920.0
301.2,53071.0
301.3,14700.5
301.4,504.0
301.5,9.0
301.6,0.0
301.7,0.0
301.8,10979.5
301.9,42700.5
302.0,9899.0
302.1,3321.5
302.2,3143.0
302.3,1484.5
302.4,145.5
302.5,0.0
302.6,0.0
302.7,1620.0
302.8,8095.5
302.9,30260.5
303.0,21183.0
303.1,8562.0
303.2,5070.0
303.3,6030.0
303.4,724.0
303.5,0.0
303.6,0.0
303.7,0.0
303.8,1415.5
303.9,5289.0
304.0,3360.0
304.1,5672.5
304.2,3874.0
304.3,1294.5
304.4,11.5
304.5,0.0
304.6,0.0
304.7,0.0
304.8,0.0
304.9,2015.5
305.0,11525.0
305.1,9708.5
305.2,3282.0
305.3,4915.5
305.4,1974.5
305.5,136.0
305.6,0.0
305.7,0.0
305.8,78.5
305.9,250.5
306.0,46.0
306.1,2.5
306.2,0.0
306.3,490.0
306.4,265.0
306.5,0.0
306.6,0.0
306.7,0.0
306.8,17.0
306.9,376.5
307.0,1816.0
307.1,36616.0
307.2,59383.0
307.3,17255.0
307.4,416.5
307.5,0.0
307.6,0.0
307.7,0.0
307.8,0.0
307.9,33.0
308.0,141.0
308.1,7009.5
308.2,40024.0
308.3,31854.0
308.4,2639.5
308.5,24.0
308.6,0.0
308.7,0.0
308.8,0.0
308.9,27.5
309.0,3826.0
309.1,17701.0
309.2,21420.0
309.3,72074.5
309.4,39559.5
309.5,2370.0
309.6,0.0
309.7,0.0
309.8,38.5
309.9,22.5
310.0,744.0
310.1,4789.5
310.2,4532.0
310.3,634.5
310.4,0.0
310.5,0.0
310.6,0.0
310.7,0.0
310.8,0.0
310.9,0.0
311.0,1589.0
311.1,10539.0
311.2,19732.0
311.3,7682.0
311.4,8901.0
311.5,38664.0
311.6,18854.5
311.7,1410.0
311.8,1986.5
311.9,2151.5
312.0,327.0
312.1,41223.5
312.2,58519.0
312.3,30380.0
312.4,2582.0
312.5,0.0
312.6,0.0
312.7,0.0
312.8,41.0
312.9,3103.5
313.0,17044.0
313.1,13476.0
313.2,1404.0
313.3,22.5
313.4,0.0
313.5,0.0
313.6,1054.5
313.7,3215.0
313.8,6192.0
313.9,3554.5
314.0,5234.0
314.1,6668.0
314.2,4607.0
314.3,909.5
314.4,0.0
314.5,0.0
314.6,33.0
314.7,183.0
314.8,1306.5
314.9,4742.5
315.0,1468.0
315.1,1150.5
315.2,3754.0
315.3,2068.0
315.4,117.0
315.5,0.0
315.6,0.0
