m/z,intensity
389.6,18730.651515151516
389.7,19572.46468401487
389.8,18564.17843866171
389.9,23260.70260223048
390.0,19936.39552238806
390.1,22427.301115241637
390.2,21095.194029850747
390.3,22237.257462686568
390.4,20196.339552238805
390.5,22097.089552238805
390.6,19771.10447761194
390.7,19761.742537313432
390.8,23452.119850187268
390.9,21044.638059701494
391.0,17144.56554307116
391.1,22024.26966292135
391.2,15895.022471910112
391.3,20513.142322097377
391.4,17578.411985018727
391.5,20578.45112781955
391.6,21112.827715355805
391.7,19513.924812030076
391.8,22994.81954887218
391.9,21989.48872180451
392.0,20481.48872180451
392.1,21053.146616541355
392.2,21868.615094339624
392.3,22652.203007518798
392.4,19471.6
392.5,22118.52075471698
392.6,21342.62641509434
392.7,20061.93962264151
392.8,18267.95471698113
392.9,19316.849056603773
393.0,20396.022727272728
393.1,22137.766037735848
393.2,20252.011363636364
393.3,20732.977272727272
393.4,22572.174242424244
393.5,23135.16287878788
393.6,21302.18181818182
393.7,19458.958174904943
393.8,22440.613636363636
393.9,21988.908745247147
394.0,24603.65019011407
394.1,19750.509505703423
394.2,20029.96958174905
394.3,18965.908745247147
394.4,23205.114068441064
394.5,20874.19465648855
394.6,22157.695817490494
394.7,19553.1106870229
394.8,21517.919847328245
394.9,21327.717557251908
395.0,21531.57251908397
395.1,19704.088122605364
395.2,19400.90076335878
395.3,20840.47328244275
395.4,19448.647509578543
395.5,19467.793103448275
395.6,19436.701149425287
395.7,18762.03448275862
395.8,22692.33716475096
395.9,17469.452107279692
396.0,20238.976923076923
396.1,19679.626923076925
396.2,20934.5938697318
396.3,20622.776923076923
396.4,18031.703846153847
396.5,19896.25
396.6,22502.853846153845
396.7,18394.301158301158
396.8,18876.296153846153
396.9,22427.613899613898
397.0,21507.64092664093
397.1,17358.49420849421
397.2,18061.212355212356
397.3,20178.779922779922
397.4,20403.745173745174
397.5,19336.91472868217
397.6,18419.841698841698
397.7,18777.20930232558
397.8,19136.658914728683
397.9,22500.34496124031
398.0,19386.096899224805
398.1,22891.841085271317
398.2,18859.445736434107
398.3,19627.015564202335
398.4,23382.89534883721
398.5,22137.0233463035
398.6,19675.71206225681
398.7,18634.09727626459
398.8,21237.836575875488
398.9,18824.381322957197
399.0,21303.575875486382
399.1,18819.16796875
399.2,18842.30078125
399.3,21360.513618677043
399.4,18255.31640625
399.5,23379.2265625
399.6,22318.359375
399.7,18070.47450980392
399.8,20361.140625
399.9,21125.956862745097
400.0,16189.84375
400.1,20842.945098039214
400.2,19608.023529411767
400.3,20065.741176470587
400.4,17912.227450980394
400.5,19483.823529411766
400.6,18838.96062992126
400.7,20616.39607843137
400.8,22569.55905511811
400.9,22209.259842519685
401.0,23284.133858267716
401.1,21134.279527559054
401.2,19673.023622047243
401.3,17422.149606299212
401.4,22973.723320158104
