m/z,intensity
389.6,14702.833333333334
389.7,19858.810408921934
389.8,17315.7249070632
389.9,20789.0780669145
390.0,16009.414179104477
390.1,19216.022304832713
390.2,16026.992537313432
390.3,19407.149253731342
390.4,17805.694029850747
390.5,18652.84328358209
390.6,18834.88432835821
390.7,20346.555970149253
390.8,18247.89138576779
390.9,16969.805970149253
391.0,16029.303370786516
391.1,17770.60299625468
391.2,16340.022471910112
391.3,16682.880149812732
391.4,18254.78277153558
391.5,20478.924812030076
391.6,18595.947565543072
391.7,18517.545112781954
391.8,18639.69172932331
391.9,21326.34962406015
392.0,16922.71052631579
392.1,20166.296992481202
392.2,17534.43396226415
392.3,18173.45112781955
392.4,19189.196226415093
392.5,17678.837735849058
392.6,19235.64528301887
392.7,17534.690566037734
392.8,17537.81886792453
392.9,17363.550943396225
393.0,17330.261363636364
393.1,17001.53962264151
393.2,18420.261363636364
393.3,18314.19318181818
393.4,17007.852272727272
393.5,21147.041666666668
393.6,19448.55681818182
393.7,18893.7680608365
393.8,17016.73106060606
393.9,18226.22433460076
394.0,20461.93155893536
394.1,20143.923954372625
394.2,17799.09505703422
394.3,20966.148288973385
394.4,18169.049429657796
394.5,19630.236641221374
394.6,19680.441064638784
394.7,16046.541984732825
394.8,17822.25572519084
394.9,17618.576335877864
395.0,19801.202290076337
395.1,17227.97701149425
395.2,19221.141221374044
395.3,17355.423664122136
395.4,18453.78544061303
395.5,20664.46743295019
395.6,20379.222222222223
395.7,18266.17624521073
395.8,15377.2030651341
395.9,17673.241379310344
396.0,18645.834615384614
396.1,19393.423076923078
396.2,20360.08429118774
396.3,19686.19230769231
396.4,17392.31923076923
396.5,19412.707692307693
396.6,20011.14230769231
396.7,19290.320463320462
396.8,18224.273076923077
396.9,17449.45945945946
397.0,18151.482625482626
397.1,16780.0888030888
397.2,16676.428571428572
397.3,19206.007722007722
397.4,18711.447876447877
397.5,19533.80620155039
397.6,18332.328185328184
397.7,16472.03488372093
397.8,17888.372093023256
397.9,21953.042635658916
398.0,20083.821705426355
398.1,18110.488372093023
398.2,15879.600775193798
398.3,16829.86381322957
398.4,18641.39534883721
398.5,16897.26848249027
398.6,16532.120622568094
398.7,17263.953307392996
398.8,18748.84046692607
398.9,16361.023346303502
399.0,18793.455252918287
399.1,18846.62109375
399.2,20946.28125
399.3,19152.011673151752
399.4,15677.0546875
399.5,18025.21484375
399.6,18475.04296875
399.7,18722.780392156863
399.8,16430.07421875
399.9,18347.403921568628
400.0,21411.9375
400.1,21722.207843137254
400.2,17412.850980392155
400.3,17118.65882352941
400.4,17457.439215686274
400.5,18770.945098039214
400.6,19663.708661417324
400.7,16693.392156862745
400.8,19280.673228346455
400.9,18986.133858267716
401.0,15568.192913385827
401.1,16334.44094488189
401.2,18491.228346456694
401.3,17563.271653543306
401.4,15013.513833992094
401.5,21085.173228346455
401.6,17208.719367588932
401.7,18383.691699604744
401.8,18792.628458498024
401.9,18907.964426877472
402.0,17993.268774703556
402.1,18964.304347826088
402.2,16832.325396825396
402.3,18501.229249011856
402.4,16882.992063492064
402.5,19183.06349206349
402.6,17456.845238095237
402.7,19849.448412698413
402.8,16477.865079365078
402.9,17860.174603174604
403.0,17496.511904761905
403.1,21024.15139442231
403.2,16353.828685258964
403.3,21784.54183266932
403.4,18363.65873015873
403.5,19550.64
403.6,17030.784860557767
403.7,18078.478087649404
403.8,18821.266932270915
403.9,19159.788
404.0,17700.084
404.1,16504.438247011953
404.2,15578.444
404.3,20466.852
404.4,21108.36546184739
404.5,18504.032
404.6,16779.428
404.7,19980.18875502008
404.8,21068.791164658636
404.9,21472.752
405.0,16562.0
405.1,17043.73092369478
405.2,19860.164658634538
405.3,18560.5564516129
405.4,18354.47389558233
405.5,16427.479838709678
405.6,19691.4859437751
405.7,18184.802419354837
405.8,16418.064516129034
405.9,18690.120967741936
406.0,18338.524193548386
406.1,17943.016129032258
406.2,19799.012145748988
406.3,16946.810483870966
406.4,15927.967611336033
406.5,16119.611336032389
406.6,15920.34008097166
406.7,17200.479838709678
406.8,18296.48780487805
406.9,16938.611336032387
407.0,18243.41295546559
407.1,19379.743902439026
407.2,14717.914979757084
407.3,19006.073170731706
407.4,17987.646341463416
407.5,15748.991869918698
407.6,21191.849593495936
407.7,18367.31300813008
407.8,19850.357723577235
407.9,18371.151020408164
408.0,17203.825203252032
408.1,16483.02448979592
408.2,19882.15918367347
408.3,18800.02857142857
408.4,16844.1306122449
408.5,18895.934693877552
408.6,18327.775510204083
408.7,18366.176229508197
408.8,19077.351020408165
408.9,18533.053278688523
409.0,17967.262295081968
409.1,18753.48163265306
409.2,17219.811475409835
409.3,19749.679012345678
409.4,18675.84836065574
409.5,18616.217213114753
409.6,15833.020576131687
409.7,18963.897540983606
409.8,19206.197530864196
409.9,20299.44032921811
410.0,16779.1646090535
410.1,19756.748971193414
410.2,22092.25925925926
410.3,17085.106995884773
410.4,22383.314049586777
410.5,17536.62551440329
410.6,21538.004132231406
410.7,17183.078512396693
410.8,18352.136363636364
410.9,18329.409090909092
411.0,18709.56611570248
411.1,21658.97520661157
411.2,18139.938016528926
411.3,19482.43153526971
411.4,19834.888429752067
411.5,18985.98755186722
411.6,18363.21161825726
411.7,22529.116182572616
411.8,16135.639004149378
411.9,17579.157676348546
412.0,18849.75
412.1,17598.804979253113
