m/z,intensity
389.6,10651.984848484848
389.7,10384.814126394052
389.8,11910.598513011153
389.9,10746.078066914499
390.0,10293.179104477613
390.1,8659.769516728624
390.2,10128.865671641792
390.3,8319.787313432837
390.4,9552.537313432837
390.5,8264.246268656716
390.6,9392.634328358208
390.7,9724.444029850747
390.8,10193.685393258427
390.9,7764.679104477612
391.0,10316.677902621723
391.1,8776.168539325843
391.2,9128.838951310861
391.3,9100.460674157302
391.4,9498.460674157302
391.5,8996.827067669174
391.6,9265.434456928839
391.7,9519.42857142857
391.8,10323.097744360903
391.9,8920.763157894737
392.0,10754.323308270677
392.1,9335.42857142857
392.2,9776.101886792452
392.3,9260.364661654135
392.4,10072.690566037736
392.5,8984.483018867924
392.6,9007.294339622642
392.7,8734.743396226415
392.8,7316.064150943396
392.9,10501.301886792453
393.0,9174.53409090909
393.1,8907.25283018868
393.2,9742.10606060606
393.3,9623.14393939394
393.4,8832.765151515152
393.5,8798.522727272728
393.6,9081.704545454546
393.7,8749.285171102661
393.8,8057.261363636364
393.9,8851.114068441064
394.0,8731.288973384031
394.1,10371.794676806083
394.2,10065.623574144487
394.3,9276.019011406845
394.4,9544.330798479088
394.5,10449.484732824427
394.6,9053.007604562737
394.7,8833.477099236641
394.8,8738.81679389313
394.9,8540.687022900764
395.0,7421.9312977099235
395.1,9612.494252873563
395.2,8917.751908396947
395.3,9739.370229007634
395.4,8697.71264367816
395.5,9455.662835249042
395.6,8967.938697318008
395.7,8884.651340996168
395.8,9517.034482758621
395.9,9065.888888888889
396.0,9909.15
396.1,10340.123076923077
396.2,8207.83141762452
396.3,8435.284615384615
396.4,9487.942307692309
396.5,9155.9
396.6,8505.546153846153
396.7,8995.235521235521
396.8,8295.092307692308
396.9,8808.34362934363
397.0,9355.196911196912
397.1,9664.532818532818
397.2,9898.57528957529
397.3,9575.868725868726
397.4,8015.791505791506
397.5,8821.77519379845
397.6,9079.177606177605
397.7,9815.282945736433
397.8,8354.833333333334
397.9,9548.135658914729
398.0,8152.937984496124
398.1,8345.003875968992
398.2,9386.53488372093
398.3,11080.68093385214
398.4,9561.872093023256
398.5,9072.696498054474
398.6,7357.237354085603
398.7,8799.992217898833
398.8,10093.75486381323
398.9,9426.155642023346
399.0,8848.291828793774
399.1,10868.97265625
399.2,10167.65234375
399.3,9296.906614785992
399.4,8346.1484375
399.5,10407.06640625
399.6,8674.61328125
399.7,8353.807843137254
399.8,8486.23046875
399.9,9721.184313725491
400.0,8755.33203125
400.1,8742.611764705882
400.2,9837.913725490196
400.3,9859.8
400.4,9548.498039215687
400.5,9114.462745098039
400.6,9365.751968503937
400.7,9855.76862745098
400.8,8531.208661417322
400.9,10315.657480314962
401.0,8929.24409448819
401.1,9565.086614173228
401.2,9848.645669291338
401.3,8713.149606299212
401.4,10436.185770750988
401.5,8319.71653543307
401.6,9394.237154150198
401.7,8766.09486166008
401.8,8953.245059288538
401.9,9394.205533596838
402.0,10733.798418972332
402.1,9909.95652173913
402.2,9426.238095238095
402.3,8216.130434782608
402.4,8397.234126984127
402.5,9554.65873015873
402.6,8956.305555555555
402.7,9226.464285714286
402.8,9732.464285714286
402.9,9038.61507936508
403.0,8437.432539682539
403.1,9092.430278884462
403.2,9627.18326693227
403.3,9713.171314741036
403.4,8595.42857142857
403.5,9924.172
403.6,8560.533864541832
403.7,10015.812749003984
403.8,9114.079681274901
403.9,8130.52
404.0,10804.48
404.1,8570.633466135458
404.2,8781.444
404.3,9722.884
404.4,9342.855421686747
404.5,9330.94
404.6,8850.744
404.7,8474.62248995984
404.8,7808.726907630522
404.9,8798.708
405.0,10044.578313253012
405.1,9165.393574297188
405.2,9786.795180722891
405.3,9520.54435483871
405.4,8923.89156626506
405.5,9840.366935483871
405.6,8823.610441767069
405.7,9540.548387096775
405.8,8550.197580645161
405.9,8376.745967741936
406.0,9650.59677419355
406.1,9165.310483870968
406.2,8430.234817813765
406.3,9043.524193548386
406.4,9725.093117408907
406.5,9555.599190283401
406.6,9418.25910931174
406.7,7918.322580645161
406.8,9026.19918699187
406.9,9298.032388663967
407.0,9690.23076923077
407.1,9963.288617886179
407.2,9244.514170040486
407.3,9070.268292682927
407.4,9532.934959349594
407.5,10191.975609756097
407.6,9448.69512195122
407.7,9886.613821138211
407.8,9082.142276422765
407.9,8758.808163265307
408.0,8599.134146341463
408.1,8871.028571428571
408.2,9036.94693877551
408.3,9145.179591836735
408.4,9885.820408163265
408.5,10591.844897959183
408.6,9560.767346938776
408.7,8705.159836065573
408.8,7591.689795918367
408.9,9884.754098360656
409.0,8974.782786885246
409.1,9006.285714285714
409.2,9689.868852459016
409.3,9138.139917695473
409.4,9608.155737704918
409.5,9224.180327868853
409.6,8558.502057613168
409.7,9368.918032786885
409.8,9450.543209876543
409.9,8365.510288065843
410.0,9180.25925925926
410.1,9091.378600823045
410.2,9512.28806584362
410.3,8220.707818930041
410.4,9708.48347107438
410.5,9010.818930041152
410.6,9360.760330578512
410.7,9254.727272727272
410.8,9200.5
410.9,8204.272727272728
411.0,8736.078512396694
411.1,9583.55785123967
411.2,9239.962809917355
411.3,8811.755186721992
411.4,8961.119834710744
411.5,9108.792531120333
411.6,9366.585062240663
411.7,8935.639004149378
411.8,10425.360995850622
411.9,9760.90041493776
412.0,10198.166666666666
412.1,8985.489626556016
412.2,8764.7
412.3,8510.742738589212
412.4,8778.283333333333
412.5,8423.804166666667
412.6,10387.9375
412.7,9563.245833333332
412.8,9405.129166666668
412.9,9123.682008368201
413.0,8556.8125
413.1,8499.52719665272
413.2,10878.3
413.3,8528.338912133891
413.4,10120.0
413.5,9046.55230125523
413.6,10108.493723849373
413.7,9126.73949579832
413.8,8597.94560669456
413.9,8222.790794979079
414.0,8203.735294117647
414.1,10332.57142857143
414.2,9208.340336134454
414.3,8299.14705882353
414.4,9059.579831932773
414.5,8569.529411764706
414.6,10349.22268907563
414.7,9897.886075949367
414.8,9073.42857142857
414.9,8902.869198312237
415.0,9107.98312236287
415.1,8773.06329113924
415.2,9137.852320675105
415.3,9080.62447257384
415.4,9221.637130801688
415.5,9914.430379746835
415.6,9934.940677966102
415.7,8404.493670886075
415.8,9110.381355932202
415.9,9490.495762711864
416.0,9277.17372881356
416.1,8652.254237288136
416.2,8555.67372881356
416.3,10368.669491525423
416.4,10878.483050847457
416.5,9123.757446808511
416.6,8697.072033898305
416.7,8450.744680851063
416.8,8868.787234042553
416.9,8482.102127659575
417.0,8941.919148936171
417.1,9618.16170212766
417.2,9191.868085106384
417.3,8509.91452991453
417.4,8902.289361702127
417.5,9715.410256410256
417.6,8073.974358974359
417.7,8615.965957446808
417.8,8667.495726495727
417.9,9608.358974358975
418.0,9954.557939914162
418.1,7432.521367521367
418.2,7621.047008547009
418.3,9281.914163090129
418.4,8912.74358974359
418.5,10665.80686695279
418.6,8999.80686695279
418.7,9027.175965665236
418.8,8305.32618025751
418.9,9003.188841201716
419.0,9101.961373390557
419.1,8676.991379310344
419.2,9868.75965665236
419.3,7942.620689655172
419.4,8179.586206896552
419.5,8998.377682403434
419.6,8331.01724137931
419.7,8246.01724137931
419.8,8520.008658008657
419.9,9473.26724137931
420.0,9046.081896551725
420.1,9303.761904761905
420.2,10651.728448275862
420.3,8806.922077922078
420.4,9439.151515151516
420.5,8884.995670995671
420.6,8499.194805194806
420.7,9399.484848484848
420.8,8397.415584415585
420.9,9055.691304347825
421.0,10437.225108225108
421.1,8427.230434782608
421.2,10104.852813852815
421.3,9849.108695652174
421.4,9934.373913043479
421.5,9078.808695652175
421.6,8951.130434782608
421.7,9877.947598253275
421.8,8649.213043478261
421.9,8869.813043478262
422.0,8087.135371179039
422.1,9550.515283842795
422.2,7962.495652173913
422.3,9808.764192139737
422.4,8760.764192139737
422.5,8703.548245614034
422.6,9257.685589519651
422.7,8923.764192139737
422.8,8815.162280701754
422.9,8517.606986899564
423.0,8732.745614035088
423.1,9292.109649122807
423.2,9733.934497816594
423.3,8632.583333333334
423.4,9458.622807017544
423.5,9097.207048458149
423.6,8796.78947368421
423.7,8581.004385964912
423.8,7700.991189427313
423.9,8979.14537444934
424.0,9692.942982456141
424.1,9073.312775330396
424.2,10014.77973568282
424.3,10479.810572687225
424.4,7267.444933920705
424.5,9656.247787610619
424.6,8692.387665198237
424.7,9172.008810572686
424.8,9044.699115044248
424.9,9514.384955752212
425.0,10148.433628318584
425.1,9338.903083700441
425.2,10159.092920353982
425.3,10310.102222222222
425.4,8429.858407079646
425.5,9297.79646017699
425.6,9740.902222222223
425.7,9904.022123893805
425.8,9578.506666666666
425.9,10373.262222222222
426.0,8832.030973451327
426.1,8396.271111111111
426.2,8590.448888888888
426.3,9797.30357142857
426.4,9587.057777777778
426.5,8934.417777777779
426.6,8391.816964285714
426.7,9567.293333333333
426.8,10624.785714285714
426.9,8977.245535714286
427.0,9729.964285714286
427.1,10192.330357142857
427.2,8976.13392857143
427.3,9733.058035714286
427.4,8802.403587443947
427.5,8966.075892857143
427.6,7942.201793721973
427.7,8748.107142857143
427.8,9280.01793721973
427.9,9655.860986547084
428.0,8996.856502242152
428.1,9456.609865470851
428.2,8562.923766816144
428.3,9104.269058295964
428.4,9598.324324324325
428.5,9916.63677130045
428.6,9334.472972972973
428.7,9286.152466367714
428.8,10159.954954954956
428.9,9063.463963963964
429.0,8560.824324324325
429.1,9711.914414414414
429.2,8482.04054054054
