,Compound,Mass
0,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O,8585.664
1,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl,8602.622000000001
2,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Ru,8669.557626
3,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Na,8590.643
4,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + K,8606.617
5,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + OH,8584.656
6,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + C₁₀H₁₄,8701.762827
7,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + P₁N₃C₆H₁₂,8724.730160000001
8,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl,8621.640000000001
9,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Ru,8688.575626
10,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Na,8609.661
11,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + K,8625.635
12,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + OH,8603.674
13,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + C₁₀H₁₄,8720.780827
14,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + P₁N₃C₆H₁₂,8743.748160000001
15,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Ru,8705.533626
16,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Na,8626.619
17,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + K,8642.593
18,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + OH,8620.632000000001
19,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + C₁₀H₁₄,8737.738827000001
20,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + P₁N₃C₆H₁₂,8760.706160000002
21,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Ru + Na,8693.554626
