,m/z,I,normalised_intensity
1,8000.87643,746181,0.0007769971983441193
5,8003.28275,558975,0.0004875643350407207
10,8007.31731,399619,0.00024118941455432403
13,8014.70449,597414,0.0005469935725251995
18,8021.05692,740696,0.0007685170254051155
24,8023.03569,398080,0.00023881001871966097
27,8025.0351,2346962,0.003251910547017119
30,8034.81165,1004940,0.0011770557342645712
33,8038.05582,1285137,0.0016102588367240135
35,8041.05832,351783,0.0001672317932762594
38,8042.63983,323762,0.0001239094731442949
41,8047.01222,432877,0.000292608483215288
43,8049.74483,441201,0.00030547793800913804
47,8053.0092,342508,0.00015289202955533681
52,8059.67427,522538,0.000431230322027324
55,8062.355,399085,0.00024036381521987956
57,8065.12382,391887,0.000229235230932742
59,8066.33632,333128,0.00013838992888663026
61,8067.24902,471477,0.0003522866373530357
65,8073.15895,338283,0.0001463598999897414
69,8075.93841,2952213,0.00418766864209551
71,8076.88368,3335166,0.004779739319854911
73,8077.82945,3166306,0.004518670586494806
75,8078.77454,3800366,0.005498969301846626
78,8080.66264,2098472,0.002867728564589945
82,8084.01096,423177,0.00027761164137238254
85,8085.26393,460622,0.0003355040890845058
88,8087.59195,452394,0.00032278305664291555
94,8094.41748,398946,0.00024014891202233686
97,8104.09661,1309485,0.0016479024558158758
100,8107.05039,704936,0.0007132296991883835
103,8108.9669,484229,0.00037200207314486356
105,8110.84646,459927,0.00033442957309679254
111,8116.13482,898557,0.0010125805769683016
113,8117.91962,666658,0.0006540493783571736
115,8119.86588,627647,0.0005937357910238141
118,8122.64712,1010411,0.0011855142622772038
123,8128.11878,1037900,0.0012280140752070623
125,8129.18875,1393407,0.0017776514208818876
128,8131.79925,1195069,0.001471007748981043
132,8134.38934,712825,0.000725426615198557
134,8136.3556,701604,0.000708078206712037
136,8137.04104,428544,0.00028590937850340043
140,8139.90241,1675403,0.0022136358963800295
142,8140.85609,3715124,0.005367179529437043
144,8141.80851,7355311,0.010995149500323707
147,8142.75845,8224509,0.01233898712260925
150,8143.70805,8476556,0.012728668462400878
152,8144.66272,7668124,0.011478779096963376
154,8145.61513,4918821,0.007228174739311251
156,8146.56934,2858838,0.004043304713530428
158,8147.52255,2405799,0.003342876442224442
166,8166.56152,494020,0.0003871396070091819
169,8168.48366,868814,0.0009665959308926791
173,8172.67605,457345,0.00033043763024747475
175,8174.10216,408644,0.00025514266173290364
178,8176.86536,360100,0.00018009042560692383
181,8179.11861,4725005,0.006928522378628305
184,8182.13431,6836044,0.010192328358752572
187,8185.14897,5177014,0.007627358201779839
192,8188.15002,2475170,0.003450128598459926
194,8188.79418,1816989,0.002432537221036691
196,8189.75473,5209550,0.007677661010666516
199,8190.71732,6482794,0.009646180484422019
202,8191.66817,6773749,0.010096016166731562
204,8192.62483,7013356,0.010466464443376207
206,8193.58805,6122470,0.00908909573800933
